,Year,Modeled Rate (Trend Line)
0,1975,7.7677
1,1976,8.2232
2,1977,8.7055
3,1978,9.216
4,1979,9.7565
5,1980,10.3286
6,1981,10.9343
7,1982,11.253
8,1983,11.5809
9,1984,11.9184
10,1985,12.2658
11,1986,12.6232
12,1987,12.9911
13,1988,13.3697
14,1989,13.7593
15,1990,14.1603
16,1991,14.573
17,1992,14.9977
18,1993,15.4348
19,1994,15.8846
20,1995,16.3475
21,1996,16.8239
22,1997,17.3143
23,1998,17.8188
24,1999,18.3381
25,2000,18.8726
26,2001,19.4226
27,2002,19.9886
28,2003,20.5711
29,2004,21.1707
30,2005,21.7876
31,2006,22.0953
32,2007,22.4073
33,2008,22.7237
34,2009,23.0446
35,2010,23.37
36,2011,23.7
37,2012,24.0347
38,2013,24.3741
39,2014,24.7183
40,2015,25.0673
41,2016,25.4213
42,2017,25.7803
43,2018,26.1443
44,1975,5.0131
45,1976,5.2836
46,1977,5.5687
47,1978,5.8692
48,1979,6.186
49,1980,6.5198
50,1981,6.8716
51,1982,6.9577
52,1983,7.0449
53,1984,7.1332
54,1985,7.2226
55,1986,7.3131
56,1987,7.4047
57,1988,7.4975
58,1989,7.5914
59,1990,7.6865
60,1991,7.7828
61,1992,7.8804
62,1993,7.9791
63,1994,8.0791
64,1995,8.1803
65,1996,8.2828
66,1997,8.3866
67,1998,8.4917
68,1999,8.5981
69,2000,8.7058
70,2001,8.8149
71,2002,8.9254
72,2003,9.0372
73,2004,9.1504
74,2005,9.2651
75,2006,9.2064
76,2007,9.1481
77,2008,9.0901
78,2009,9.0325
79,2010,8.9753
80,2011,8.9185
81,2012,8.862
82,2013,8.8058
83,2014,8.75
84,2015,8.6946
85,2016,8.6395
86,2017,8.5848
87,2018,8.5304
88,1975,13.9644
89,1976,14.773
90,1977,15.6285
91,1978,16.5336
92,1979,17.491
93,1980,18.504
94,1981,19.5755
95,1982,20.7091
96,1983,21.9084
97,1984,22.5022
98,1985,23.1122
99,1986,23.7387
100,1987,24.3821
101,1988,25.043
102,1989,25.7218
103,1990,26.419
104,1991,27.1351
105,1992,27.8707
106,1993,28.6261
107,1994,29.402
108,1995,30.199
109,1996,31.0176
110,1997,31.8583
111,1998,32.7219
112,1999,33.6088
113,2000,34.5198
114,2001,35.4555
115,2002,36.4166
116,2003,37.4037
117,2004,38.4175
118,2005,39.4589
119,2006,40.5284
120,2007,40.3754
121,2008,40.2229
122,2009,40.071
123,2010,39.9196
124,2011,39.7689
125,2012,39.6187
126,2013,41.5347
127,2014,43.5434
128,2015,45.6492
129,2016,44.755
130,2017,43.8783
131,2018,43.0187
132,1975,16.9642
133,1976,17.8544
134,1977,18.7914
135,1978,19.7775
136,1979,20.8154
137,1980,21.9077
138,1981,23.0574
139,1982,24.2673
140,1983,25.5408
141,1984,26.8811
142,1985,28.2918
143,1986,29.7765
144,1987,31.339
145,1988,32.9836
146,1989,34.7145
147,1990,36.5362
148,1991,38.4535
149,1992,40.4715
150,1993,42.5953
151,1994,44.8306
152,1995,47.1832
153,1996,49.6592
154,1997,51.7029
155,1998,53.8307
156,1999,56.046
157,2000,58.3526
158,2001,60.754
159,2002,63.2543
160,2003,65.8575
161,2004,68.5678
162,2005,71.3897
163,2006,74.3277
164,2007,77.3866
165,2008,80.5714
166,2009,83.8873
167,2010,87.3396
168,2011,89.2455
169,2012,91.193
170,2013,93.183
171,2014,95.2165
172,2015,97.2943
173,2016,99.4174
174,2017,101.5869
175,2018,103.8038
176,1975,101.62211333333333
177,1976,99.44042666666667
178,1977,97.25873999999999
179,1978,95.07705333333332
180,1979,92.89536666666666
181,1980,90.71368
182,1981,88.53199333333333
183,1982,86.35030666666665
184,1983,84.16861999999999
185,1984,81.98693333333333
186,1985,79.80524666666666
187,1986,77.62356
188,1987,75.44187333333332
189,1988,73.26018666666667
190,1989,71.07849999999999
191,1990,68.89681333333333
192,1991,66.71512666666666
193,1992,64.53343999999998
194,1993,62.35175333333333
195,1994,60.170066666666656
196,1995,57.98837999999999
197,1996,55.80669333333333
198,1997,53.62500666666666
199,1998,51.44331999999999
200,1999,49.26163333333333
201,2000,47.07994666666666
202,2001,44.89825999999999
203,2002,42.71657333333333
204,2003,40.53488666666666
205,2004,38.35319999999999
206,2005,36.17151333333332
207,2006,33.98982666666666
208,2007,31.808139999999995
209,2008,29.62645333333333
210,2009,27.444766666666652
211,2010,25.263079999999988
212,2011,23.081393333333324
213,2012,20.89970666666666
214,2013,18.718019999999996
215,2014,16.536333333333317
216,2015,14.354646666666653
217,2016,12.17295999999999
218,2017,9.991273333333325
219,2018,7.809586666666661
220,1975,5.6279
221,1976,5.8001
222,1977,5.9775
223,1978,6.1603
224,1979,6.3487
225,1980,6.5429
226,1981,6.743
227,1982,6.9493
228,1983,7.1619
229,1984,7.3809
230,1985,7.6067
231,1986,7.8394
232,1987,8.0791
233,1988,7.934
234,1989,7.7915
235,1990,7.6515
236,1991,7.5141
237,1992,7.3791
238,1993,7.2465
239,1994,7.3786
240,1995,7.5131
241,1996,7.65
242,1997,7.7894
243,1998,7.9313
244,1999,8.0759
245,2000,8.2231
246,2001,8.3729
247,2002,8.5255
248,2003,8.6809
249,2004,8.8391
250,2005,9.0002
251,2006,8.9074
252,2007,8.8156
253,2008,8.7247
254,2009,8.6348
255,2010,8.5458
256,2011,8.4577
257,2012,8.3705
258,2013,8.2842
259,2014,8.1988
260,2015,8.1143
261,2016,8.0307
262,2017,7.9479
263,2018,7.866
264,1975,12.263
265,1976,13.0914
266,1977,13.9758
267,1978,14.92
268,1979,15.9279
269,1980,17.0039
270,1981,18.1527
271,1982,18.5695
272,1983,18.9958
273,1984,19.4319
274,1985,19.8781
275,1986,20.3345
276,1987,20.8014
277,1988,21.279
278,1989,21.7675
279,1990,22.2673
280,1991,22.7786
281,1992,23.3015
282,1993,23.8365
283,1994,24.3838
284,1995,24.9437
285,1996,25.5164
286,1997,26.1022
287,1998,26.7015
288,1999,27.3146
289,2000,27.9417
290,2001,28.5833
291,2002,29.2395
292,2003,29.9109
293,2004,30.5976
294,2005,31.3001
295,2006,32.0188
296,2007,31.6913
297,2008,31.3672
298,2009,31.0464
299,2010,30.7289
300,2011,30.4147
301,2012,30.1036
302,2013,31.3158
303,2014,32.5767
304,2015,33.8884
305,2016,33.3578
306,2017,32.8354
307,2018,32.3213
308,1975,15.9032
309,1976,16.7557
310,1977,17.6538
311,1978,18.6001
312,1979,19.5971
313,1980,20.6476
314,1981,21.7544
315,1982,22.9205
316,1983,24.1491
317,1984,25.4435
318,1985,26.8074
319,1986,28.2444
320,1987,29.7583
321,1988,31.3535
322,1989,33.0341
323,1990,34.8049
324,1991,36.6705
325,1992,38.6362
326,1993,40.7072
327,1994,42.8892
328,1995,45.1882
329,1996,47.6104
330,1997,50.1625
331,1998,51.716
332,1999,53.3176
333,2000,54.9687
334,2001,56.6711
335,2002,58.4261
336,2003,60.2355
337,2004,62.1009
338,2005,64.0241
339,2006,66.0068
340,2007,68.051
341,2008,70.1584
342,2009,72.3312
343,2010,74.5712
344,2011,76.8806
345,2012,79.2615
346,2013,81.7161
347,2014,84.2467
348,2015,86.8558
349,2016,87.191
350,2017,87.5275
351,2018,87.8653
352,1975,18.4275
353,1976,19.3475
354,1977,20.3135
355,1978,21.3277
356,1979,22.3925
357,1980,23.5105
358,1981,24.6843
359,1982,25.9167
360,1983,27.2107
361,1984,28.5692
362,1985,29.9956
363,1986,31.4932
364,1987,33.0656
365,1988,34.7165
366,1989,36.4498
367,1990,38.2696
368,1991,40.1803
369,1992,42.1864
370,1993,44.2926
371,1994,46.504
372,1995,48.8259
373,1996,51.2636
374,1997,53.8231
375,1998,56.5103
376,1999,59.3317
377,2000,62.294
378,2001,65.4041
379,2002,68.6696
380,2003,72.098
381,2004,75.6977
382,2005,79.4771
383,2006,83.4452
384,2007,87.6113
385,2008,91.9855
386,2009,96.5781
387,2010,98.8952
388,2011,101.2679
389,2012,103.6975
390,2013,106.1854
391,2014,108.733
392,2015,111.3417
393,2016,114.013
394,2017,116.7484
395,2018,119.5494
396,1975,0.3664
397,1976,0.3734
398,1977,0.3805
399,1978,0.3877
400,1979,0.3951
401,1980,0.4026
402,1981,0.4102
403,1982,0.418
404,1983,0.4259
405,1984,0.434
406,1985,0.4423
407,1986,0.4507
408,1987,0.4592
409,1988,0.4679
410,1989,0.4768
411,1990,0.4859
412,1991,0.4951
413,1992,0.5045
414,1993,0.5141
415,1994,0.5239
416,1995,0.5338
417,1996,0.5439
418,1997,0.5543
419,1998,0.5648
420,1999,0.5755
421,2000,0.5865
422,2001,0.5976
423,2002,0.6089
424,2003,0.6205
425,2004,0.6323
426,2005,0.6109
427,2006,0.5902
428,2007,0.5702
429,2008,0.5509
430,2009,0.5322
431,2010,0.5142
432,2011,0.4967
433,2012,0.4799
434,2013,0.4636
435,2014,0.4479
436,2015,0.4328
437,2016,0.4181
438,2017,0.4039
439,2018,0.3902
440,1975,0.4089068027210884
441,1976,0.42761360544217686
442,1977,0.4463204081632653
443,1978,0.4650272108843537
444,1979,0.48373401360544216
445,1980,0.5024408163265306
446,1981,0.5211476190476191
447,1982,0.5398544217687075
448,1983,0.558561224489796
449,1984,0.5772680272108843
450,1985,0.5959748299319728
451,1986,0.6146816326530613
452,1987,0.6333884353741497
453,1988,0.6520952380952381
454,1989,0.6708020408163266
455,1990,0.689508843537415
456,1991,0.7082156462585034
457,1992,0.7269224489795918
458,1993,0.7456292517006803
459,1994,0.7643360544217688
460,1995,0.7830428571428572
461,1996,0.8017496598639455
462,1997,0.820456462585034
